"SubID","NumValidPulses_Fingertip","NumValidPulses_Ring"
"NUS2001",19252,21588
"NUS2002",12345,32124
"NUS2003",3189,7388
"NUS2004",20959,27125
"NUS2005",15831,11177
"NUS2006",4366,11174
"NUS2007",16059,8030
"NUS2008",12347,13768
"NUS2009",4229,7010
"NUS2010",9080,12154
"NUS2011",12670,12209
"NUS2012",4531,18355
"NUS2013",18346,9409
"NUS2014",3763,16807
"NUS2015",12219,4421
"NUS2016",22877,30558
"NUS2017",24931,10366
"NUS2018",8584,11746
"NUS2019",34251,15636
"NUS2020",4645,8019
"NUS2021",8038,7887
"NUS2022",18402,15333
"NUS2023",6953,5090
"NUS2024",12213,8699
"NUS2025",12298,9170
"NUS2026",27315,20689
"NUS2027",8506,7623
"NUS2028",12011,11671
"NUS2029",1548,1382
"NUS2030",28809,35891
"NUS2031",9263,8667
"NUS2032",34795,18146
"NUS2033",6032,4291
"NUS2034",31612,28510
"NUS2035",15999,17059
"NUS2036",370,9562
"NUS2037",13461,12515
"NUS2038",15665,13288
"NUS2039",20964,26367
"NUS2040",33468,18934
"NUS2042",18852,13910
"NUS2043",4967,7101
"NUS2044",11353,27970
"NUS2046",20372,28859
"NUS2048",3473,8351
"NUS2049",12213,7971
"NUS2050",4791,5556
"NUS2051",14304,17104
"NUS2052",7542,12083
"NUS2054",14994,21836
"NUS2055",19911,32822
"NUS2057",6688,3994
"NUS2059",10012,12954
"NUS2060",18299,7937
"NUS2061",15790,20370
"NUS2062",16506,12917
"NUS2063",20989,16033
"NUS2065",11918,2715
"NUS2067",34519,20444
"NUS2068",10551,2945
"NUS2069",32413,29373
"NUS2070",32000,21369
"NUS2071",1267,3132
"NUS2072",569,16607
"NUS2073",15206,2016
"NUS2074",15476,20413
"NUS2076",5285,6882
"NUS2077",16118,3426
"NUS2078",11945,9694
"NUS2079",16997,14985
"NUS2080",3116,3117
"NUS2082",19586,19727
"NUS2083",10667,16715
"NUS2086",17617,20947
"NUS2087",11488,20183
"NUS2088",31770,28182
"NUS2089",1491,5441
"NUS2090",29822,29595
"NUS2091",19809,18330
"NUS2092",30935,17387
"NUS2093",35951,34412
"NUS2094",1194,1138
"NUS2095",23484,20744
"NUS2096",27523,25503
"NUS2097",8293,6177
"NUS2098",11993,5862
"NUS2099",21099,20447
"NUS2100",28915,25850
"NUS2103",16169,15149
"NUS2104",21923,34119
"NUS2113",5381,4797
"NUS2115",1239,663
"NUS2116",11690,8870
"NUS2117",30229,31900
"NUS2118",25827,24425
"NUS2119",39400,33203
"NUS2120",19431,17189
"NUS2121",17378,26929
"NUS2124",15569,17582
"NUS3001",435,3205
"NUS3002",9473,8099
"NUS3003",11601,10515
"NUS3004",8270,11112
"NUS3005",6527,12410
"NUS3006",441,3363
"NUS3007",531,7934
"NUS3008",6636,6992
"NUS3009",5327,14622
"NUS3011",19304,19002
"NUS3012",10183,16364
"NUS3013",11380,13901
"NUS3014",10149,8025
"NUS3015",8633,7740
"NUS3016",5060,7237
"NUS3018",5287,7659
"NUS3019",949,9223
"NUS3020",6401,7893
"NUS3021",9452,9649
"NUS3022",4779,950
"NUS3023",16182,15760
"NUS3026",4831,7062
"NUS3027",6946,11520
"NUS3028",14217,11374
"NUS3029",13696,16228
"NUS3030",9330,10241
"NUS3031",14038,16614
"NUS3032",6514,7609
"NUS3033",15206,20158
"NUS3034",11983,10299
"NUS3035",5430,15557
"NUS3036",5220,3164
"NUS3037",15025,12809
"NUS3038",6422,9025
"NUS3039",13906,17132
"NUS3040",16881,19250
"NUS3042",14187,12588
"NUS3043",1659,5202
"NUS3044",1555,6493
"NUS3045",3966,9139
"NUS3046",19345,19458
"NUS3047",9906,9325
"NUS3048",19360,9933
"NUS3049",12052,11870
"NUS3051",4562,5689
"NUS3052",2821,5546
"NUS3053",13752,9854
"NUS3054",11700,9303
"NUS3055",8748,7259
"NUS3056",2764,7358
"NUS3057",9118,13113
"NUS3058",15729,13466
"NUS3059",16889,10941
"NUS3060",10243,10579
"NUS3062",10770,1490
"NUS3063",1676,5573
"NUS3064",9873,15040
"NUS3065",7470,11708
"NUS3066",17572,12223
"NUS3067",14520,14239
"NUS3068",8194,11444
