SubjectID,PPGfeature,fingertip_value,ring_value
NUS2001,PulseWidth_sec,0.864555556,0.86
NUS2001,PulseWidth_sec,0.811903226,0.812666667
NUS2001,PulseWidth_sec,0.790086957,0.800645161
NUS2001,PulseWidth_sec,0.716,0.710588235
NUS2001,PulseWidth_sec,0.848736842,0.864
NUS2001,PulseWidth_sec,0.860590909,0.888
NUS2001,PulseWidth_sec,0.983071429,0.971
NUS2001,PulseWidth_sec,1.006,1.011764706
NUS2001,PulseWidth_sec,0.861695652,0.843448276
NUS2001,PulseWidth_sec,0.996692308,1.002857143
NUS2001,PulseWidth_sec,0.968041667,0.964
NUS2001,PulseWidth_sec,1.02024,1.013333333
NUS2001,PulseWidth_sec,0.988681818,0.992
NUS2001,PulseWidth_sec,0.854392857,0.86173913
NUS2001,PulseWidth_sec,0.907692308,0.921333333
NUS2001,PulseWidth_sec,1.096333333,1.028421053
NUS2001,PulseWidth_sec,0.917695652,0.9125
NUS2001,PulseWidth_sec,1.011058824,1.02
NUS2001,PulseWidth_sec,0.902642857,0.9032
NUS2001,PulseWidth_sec,0.971105263,0.925
NUS2001,CT_sec,0.193058824,0.285517241
NUS2001,CT_sec,0.198478261,0.238571429
NUS2001,CT_sec,0.170571429,0.161818182
NUS2001,CT_sec,0.1768,0.276666667
NUS2001,CT_sec,0.178526316,0.261290323
NUS2001,CT_sec,0.185285714,0.252592593
NUS2001,CT_sec,0.192304348,0.253076923
NUS2001,CT_sec,0.182785714,0.200909091
NUS2001,CT_sec,0.216103448,0.269285714
NUS2001,CT_sec,0.2108,0.208571429
NUS2001,CT_sec,0.206266667,0.198333333
NUS2001,CT_sec,0.1974,0.31
NUS2001,CT_sec,0.207380952,0.229411765
NUS2001,CT_sec,0.207818182,0.206153846
NUS2001,CT_sec,0.2082,0.206666667
NUS2001,CT_sec,0.210789474,0.2
NUS2001,CT_sec,0.21075,0.215
NUS2001,CT_sec,0.213181818,0.227692308
NUS2001,CT_sec,0.2145,0.2696
NUS2001,CT_sec,0.180695652,0.1725
NUS2001,dT_sec,0.241823529,0.235862069
NUS2001,dT_sec,0.281,0.262222222
NUS2001,dT_sec,0.274619048,0.196296296
NUS2001,dT_sec,0.34525,0.2325
NUS2001,dT_sec,0.283214286,0.249230769
NUS2001,dT_sec,0.2608,0.246153846
NUS2001,dT_sec,0.312354839,0.246451613
NUS2001,dT_sec,0.286454545,0.318333333
NUS2001,dT_sec,0.266923077,0.308
NUS2001,dT_sec,0.366375,0.356923077
NUS2001,dT_sec,0.357421053,0.364
NUS2001,dT_sec,0.357846154,0.355555556
NUS2001,dT_sec,0.35964,0.343333333
NUS2001,dT_sec,0.346,0.36125
NUS2001,dT_sec,0.32,0.356
NUS2001,dT_sec,0.2990625,0.305555556
NUS2001,dT_sec,0.379,0.267368421
NUS2001,dT_sec,0.298130435,0.245
NUS2001,dT_sec,0.322111111,0.3325
NUS2001,dT_sec,0.299375,0.285333333
NUS2001,dT_samples,73.15625,55.9
NUS2001,dT_samples,60.82352941,65.6
NUS2001,dT_samples,35.47058824,57.04761905
NUS2001,dT_samples,72.32258065,60.25806452
NUS2001,dT_samples,64,63.35
NUS2001,dT_samples,43.8,56.45454545
NUS2001,dT_samples,72.23076923,70.11111111
NUS2001,dT_samples,70.17391304,64.66666667
NUS2001,dT_samples,70.8,65.28571429
NUS2001,dT_samples,42.66666667,66.625
NUS2001,dT_samples,51,59.5
NUS2001,dT_samples,62.125,63.66666667
NUS2001,dT_samples,60.66666667,57.58333333
NUS2001,dT_samples,52.66666667,46.375
NUS2001,dT_samples,60.21428571,62
NUS2001,dT_samples,46,58.64705882
NUS2001,dT_samples,68.19047619,71.77777778
NUS2001,dT_samples,69.375,63.86666667
NUS2001,dT_samples,68.9,66.90909091
NUS2001,dT_samples,67.83333333,62.21428571
NUS2001,CT_samples,46.84210526,69.21052632
NUS2001,CT_samples,51.32,72.14705882
NUS2001,CT_samples,48.63157895,63.94736842
NUS2001,CT_samples,50.76666667,68.40625
NUS2001,CT_samples,55.34482759,68.75862069
NUS2001,CT_samples,57.25806452,65.16666667
NUS2001,CT_samples,52.3,65.56
NUS2001,CT_samples,36.28571429,33.54545455
NUS2001,CT_samples,40.71428571,59.12
NUS2001,CT_samples,39.9,43.05
NUS2001,CT_samples,47.69230769,45.4
NUS2001,CT_samples,43.15384615,45.11764706
NUS2001,CT_samples,41.95238095,37.88888889
NUS2001,CT_samples,41.28571429,42.27272727
NUS2001,CT_samples,41.58823529,38.90909091
NUS2001,CT_samples,44.06666667,51.77777778
NUS2001,CT_samples,33.25,46.17647059
NUS2001,CT_samples,35.6,53.65
NUS2001,CT_samples,43.94736842,41.5
NUS2001,CT_samples,42.30769231,42.8125
NUS2001,RI_ratio,0.613197875,0.829477942
NUS2001,RI_ratio,0.665831206,0.887593736
NUS2001,RI_ratio,0.692120206,0.795297124
NUS2001,RI_ratio,0.640170229,0.889801092
NUS2001,RI_ratio,1.355747135,0.445158596
NUS2001,RI_ratio,0.223367713,0.413565837
NUS2001,RI_ratio,0.607923651,0.840677972
NUS2001,RI_ratio,0.592234128,0.843983328
NUS2001,RI_ratio,0.525068201,0.767983645
NUS2001,RI_ratio,0.395045515,0.569263245
NUS2001,RI_ratio,0.534752106,0.79220052
NUS2001,RI_ratio,0.443881092,0.653455681
NUS2001,RI_ratio,0.433439172,0.639775887
NUS2001,RI_ratio,0.49582605,0.693919351
NUS2001,RI_ratio,0.508670764,0.727838058
NUS2001,RI_ratio,0.517106772,0.720066895
NUS2001,RI_ratio,0.484477584,0.727725351
NUS2001,RI_ratio,0.521907753,0.78612298
NUS2001,RI_ratio,0.445105972,0.707332073
NUS2001,RI_ratio,0.732465204,0.833220208
NUS2002,PulseWidth_sec,0.9185,0.913636364
NUS2002,PulseWidth_sec,0.890181818,0.903333333
NUS2002,PulseWidth_sec,0.88375,0.891538462
NUS2002,PulseWidth_sec,0.902944444,0.926666667
NUS2002,PulseWidth_sec,0.863941176,0.853846154
NUS2002,PulseWidth_sec,0.890043478,0.885
NUS2002,PulseWidth_sec,0.87462069,0.876296296
NUS2002,PulseWidth_sec,0.867153846,0.863478261
NUS2002,PulseWidth_sec,0.89125,0.895862069
NUS2002,PulseWidth_sec,0.806666667,0.806
NUS2002,PulseWidth_sec,0.816366667,0.819166667
NUS2002,PulseWidth_sec,0.839392857,0.843870968
NUS2002,PulseWidth_sec,0.798107143,0.813636364
NUS2002,PulseWidth_sec,0.808071429,0.807058824
NUS2002,PulseWidth_sec,0.8336875,0.836923077
NUS2002,PulseWidth_sec,0.816913043,0.821538462
NUS2002,PulseWidth_sec,0.80828125,0.807857143
NUS2002,PulseWidth_sec,0.923,0.842142857
NUS2002,PulseWidth_sec,0.84021875,0.845
NUS2002,PulseWidth_sec,0.81853125,0.82
NUS2002,CT_sec,0.188892857,0.192
NUS2002,CT_sec,0.227045455,0.241666667
NUS2002,CT_sec,0.181533333,0.213043478
NUS2002,CT_sec,0.1953,0.186153846
NUS2002,CT_sec,0.198038462,0.183
NUS2002,CT_sec,0.188259259,0.186363636
NUS2002,CT_sec,0.177347826,0.178823529
NUS2002,CT_sec,0.183423077,0.1825
NUS2002,CT_sec,0.196222222,0.185
NUS2002,CT_sec,0.193827586,0.181111111
NUS2002,CT_sec,0.18952381,0.17875
NUS2002,CT_sec,0.17776,0.223636364
NUS2002,CT_sec,0.19930303,0.221538462
NUS2002,CT_sec,0.192925926,0.198888889
NUS2002,CT_sec,0.195296296,0.219285714
NUS2002,CT_sec,0.189961538,0.274166667
NUS2002,CT_sec,0.190857143,0.266666667
NUS2002,CT_sec,0.18525,0.185
NUS2002,CT_sec,0.172666667,0.275454545
NUS2002,CT_sec,0.18337037,0.202068966
NUS2002,dT_sec,0.319142857,0.34
NUS2002,dT_sec,0.33373913,0.344347826
NUS2002,dT_sec,0.327608696,0.3392
NUS2002,dT_sec,0.249857143,0.309473684
NUS2002,dT_sec,0.308833333,0.324444444
NUS2002,dT_sec,0.308310345,0.316296296
NUS2002,dT_sec,0.306846154,0.32
NUS2002,dT_sec,0.306464286,0.317241379
NUS2002,dT_sec,0.303172414,0.321428571
NUS2002,dT_sec,0.307322581,0.312142857
NUS2002,dT_sec,0.310625,0.329285714
NUS2002,dT_sec,0.308433333,0.311818182
NUS2002,dT_sec,0.307111111,0.273571429
NUS2002,dT_sec,0.312827586,0.326315789
NUS2002,dT_sec,0.3198125,0.262424242
NUS2002,dT_sec,0.305034483,0.312142857
NUS2002,dT_sec,0.30737037,0.333043478
NUS2002,dT_sec,0.301806452,0.295
NUS2002,dT_sec,0.241222222,0.292173913
NUS2002,dT_sec,0.281185185,0.252
NUS2002,dT_samples,67.38095238,74.23529412
NUS2002,dT_samples,72.36,68
NUS2002,dT_samples,72.4,69.15384615
NUS2002,dT_samples,73.48,65.42857143
NUS2002,dT_samples,68.875,61.5
NUS2002,dT_samples,64.72222222,49.66666667
NUS2002,dT_samples,75.0952381,43.5
NUS2002,dT_samples,70.5,73.41176471
NUS2002,dT_samples,76.14814815,72.06666667
NUS2002,dT_samples,74.82608696,77
NUS2002,dT_samples,69.67857143,69.04761905
NUS2002,dT_samples,68.5862069,69.92
NUS2002,dT_samples,70.51612903,70.28
NUS2002,dT_samples,72,76.42857143
NUS2002,dT_samples,73.3125,76.8
NUS2002,dT_samples,76.92307692,78.2
NUS2002,dT_samples,77.68421053,71.9
NUS2002,dT_samples,78.71875,78.65625
NUS2002,dT_samples,64.57142857,69.72727273
NUS2002,dT_samples,70.13333333,82.23076923
NUS2002,CT_samples,42.1,42.03846154
NUS2002,CT_samples,40.53571429,40.66666667
NUS2002,CT_samples,41.39285714,38.45454545
NUS2002,CT_samples,42.75,47.39130435
NUS2002,CT_samples,43.13333333,47
NUS2002,CT_samples,46.64,42.53846154
NUS2002,CT_samples,42.69230769,40.16666667
NUS2002,CT_samples,42.89473684,37.33333333
NUS2002,CT_samples,43.08333333,39.69565217
NUS2002,CT_samples,44.6,40.6
NUS2002,CT_samples,42.7037037,42.96
NUS2002,CT_samples,41,47.35714286
NUS2002,CT_samples,47.35483871,48.78571429
NUS2002,CT_samples,46.93333333,48.09677419
NUS2002,CT_samples,47.03703704,44.73333333
NUS2002,CT_samples,45.23333333,46.59090909
NUS2002,CT_samples,43.83870968,43.72222222
NUS2002,CT_samples,46.5,44.66666667
NUS2002,CT_samples,48.13043478,44.88461538
NUS2002,CT_samples,43.04166667,46.67857143
NUS2002,RI_ratio,0.621740476,0.731045769
NUS2002,RI_ratio,0.630085516,0.730362634
NUS2002,RI_ratio,0.745971598,0.882155357
NUS2002,RI_ratio,0.702266063,0.881717291
NUS2002,RI_ratio,0.535033037,0.84614025
NUS2002,RI_ratio,0.591135382,0.888413547
NUS2002,RI_ratio,0.695110024,0.625070584
NUS2002,RI_ratio,0.654284561,0.694797282
